uniref90_cluster	length	percent_identity_to_query	evalue
UniRef90_UPI00355B6BEC	517	47.9	5.5e-150
UniRef90_UPI003F67BBF6	467	47.6	8.5e-150
UniRef90_UPI003F5030BD	429	47.9	9.4e-150
UniRef90_A0ABS2XP07	487	47.8	1.7e-149
UniRef90_A0A401SVR8	592	49.3	2.2e-149
UniRef90_UPI003B288DCD	520	47.8	3.5e-149
UniRef90_UPI0023493F53	458	47.9	3.6e-149
UniRef90_UPI003F597B02	431	54.9	4.1e-149
UniRef90_UPI00223DAF89	519	47.1	1.9e-148
UniRef90_UPI0038322353	440	47.6	2.2e-148
UniRef90_UPI003B5A7AB3	528	48.9	2.6e-148
UniRef90_UPI003F4DA104	495	46.1	3.5e-148
UniRef90_A0ABN9L102	496	48.1	5.1e-148
UniRef90_A0ACM8HI83	448	48.5	8.3e-148
UniRef90_A0A401PG01	469	51.2	2.4e-147
UniRef90_A0A8J6FK16	434	47.6	3.4e-146
UniRef90_UPI00398F3C37	517	43.1	4.6e-146
UniRef90_A0A803K0H2	526	48.3	6.2e-146
UniRef90_A0A4W3JYG1	393	50.8	1.9e-145
UniRef90_W5NFW3	457	47.2	2.1e-145
UniRef90_A0A8D2QNC6	413	49.5	2.7e-145
UniRef90_UPI002455F0F2	515	44.5	1.4e-144
UniRef90_UPI003831F513	525	46.5	7.8e-144
UniRef90_A0A8T2J3X8	460	47.5	2.1e-143
UniRef90_A0A9D3PB59	478	47.9	3.8e-143
UniRef90_A0A8T1T2F8	440	55.0	3.5e-142
UniRef90_B7ZQD4	512	45.5	4.7e-142
UniRef90_UPI003D9E3897	485	45.7	7.8e-142
UniRef90_A0AAV7BX06	454	46.2	1.1e-141
UniRef90_UPI003F5A100F	486	53.0	1.6e-141
UniRef90_A0A8C4ETZ7	482	46.3	2.8e-141
UniRef90_A0A662YZL1	469	48.2	3.7e-141
UniRef90_A0A8T3CT02	473	45.1	4.2e-141
UniRef90_A0A3Q3ECI2	479	46.1	1.5e-140
UniRef90_UPI003F4F1A90	515	46.0	2.4e-140
UniRef90_UPI0034638C53	502	46.0	6.2e-140
UniRef90_A0A9D3MEA2	448	45.4	1.2e-139
UniRef90_UPI001CF5FECA	606	47.5	1.5e-139
UniRef90_A0A667YNH7	485	46.0	2e-139
UniRef90_UPI0024C2F94E	535	46.3	2.5e-139
UniRef90_UPI0024335D60	517	49.2	8.1e-139
UniRef90_UPI0003F0C513	370	55.8	1.6e-138
UniRef90_UPI00350F5940	482	46.8	2.1e-138
UniRef90_UPI0015AFD99A	476	46.1	3.4e-138
UniRef90_UPI002A5ACB94	477	45.4	3.5e-138
UniRef90_UPI003527AEF7	487	45.0	4.9e-138
UniRef90_A0AAV1F426	486	46.6	9.5e-138
UniRef90_Q801Z8	477	44.4	1e-137
UniRef90_A0A9Y4KBI0	481	46.8	1.1e-137
UniRef90_UPI003A5BBD7B	483	46.4	1.7e-137
UniRef90_UPI001C4CC594	503	45.6	2.3e-137
UniRef90_UPI0037E80A81	480	46.6	3.1e-137
UniRef90_A0AAV7SBR7	433	54.1	3.8e-137
UniRef90_A0A6P8WGJ4	483	47.1	4.9e-137
UniRef90_A0A665U3Y8	477	45.9	1.1e-136
UniRef90_UPI00210FEE6A	489	46.7	1.2e-136
UniRef90_A0AAV6SWI0	480	44.0	5.1e-136
UniRef90_E5RWZ0	491	45.2	1e-135
UniRef90_A0A8C4X480	473	47.8	1.1e-135
UniRef90_UPI001B7DD613	473	45.5	1.1e-135
UniRef90_UPI002A599FE9	447	45.8	1.4e-135
UniRef90_UPI001A982314	481	46.6	1.5e-135
UniRef90_A0A4W4FGD6	469	42.0	2e-135
UniRef90_UPI003980CF05	482	44.2	2.2e-135
UniRef90_A0A3Q2ZYQ5	540	46.1	2.4e-135
UniRef90_UPI001471B36D	481	44.4	4.2e-135
UniRef90_UPI001CFC04E2	455	48.3	5.1e-135
UniRef90_A0A3B4Y128	478	46.3	5.4e-135
UniRef90_UPI00148FA169	494	44.9	6.4e-135
UniRef90_A0AAV2KUY4	477	45.5	1e-134
UniRef90_UPI0040328E6F	505	47.1	1.8e-134
UniRef90_A0A8B7U0W6	476	45.3	2e-134
UniRef90_UPI0008163CDA	363	58.6	2.1e-134
UniRef90_A0A671UDD2	482	44.0	2.5e-134
UniRef90_A0A8D0AJU6	458	45.4	3.2e-134
UniRef90_UPI0037E735CA	479	45.2	3.2e-134
UniRef90_UPI00237E7D32	479	44.2	3.2e-134
UniRef90_A0A8C5L4C1	481	45.5	3.4e-134
UniRef90_A0A6J2UQ54	476	42.3	4.1e-134
UniRef90_A0A8C7HX51	487	45.9	5.8e-134
UniRef90_UPI00223E8257	450	48.3	6.9e-134
UniRef90_A0A671F8V9	480	46.1	1.3e-133
UniRef90_UPI0027E1AB4D	483	44.2	1.4e-133
UniRef90_UPI001BD5404F	475	45.1	1.6e-133
UniRef90_UPI00210FA584	493	47.0	2e-133
UniRef90_A0A8C5XN21	481	46.1	2.7e-133
UniRef90_UPI002714D0DD	481	45.5	2.7e-133
UniRef90_UPI001486D1AA	484	44.7	3e-133
UniRef90_A0A3Q1CZK1	494	45.0	4.1e-133
UniRef90_UPI002305A69F	595	46.1	4.3e-133
UniRef90_UPI001CE15DEA	482	45.8	5.6e-133
UniRef90_UPI003B63E3BE	482	44.3	5.6e-133
UniRef90_UPI00214E0D98	484	44.5	6e-133
UniRef90_A0A6J2PCQ6	480	45.8	7.4e-133
UniRef90_UPI00223CFCC2	480	45.6	7.4e-133
UniRef90_UPI0037515B3E	481	46.1	7.7e-133
UniRef90_A0A3Q3XFP2	484	44.4	8.4e-133
UniRef90_A0AAV6GDW2	474	45.3	8.6e-133
UniRef90_A0A3Q1FG18	496	44.7	8.8e-133
UniRef90_A0A4V6ANR2	476	45.1	9.2e-133
UniRef90_A0A3P8XKM4	488	44.5	9.6e-133
UniRef90_UPI001B3AB526	481	45.6	1.1e-132
UniRef90_UPI001E8EDBA0	482	44.0	1.1e-132
UniRef90_G1T8R5	484	48.0	1.2e-132
UniRef90_A0A6I9M2Y0	481	45.4	1.5e-132
UniRef90_A0A401PHC1	452	45.7	1.7e-132
UniRef90_A0AAN7XUI2	478	46.0	2e-132
UniRef90_A0A3B4AC15	479	44.8	2e-132
UniRef90_A0A811ZP17	501	46.1	2.1e-132
UniRef90_A0AAV1PWG3	503	47.3	2.2e-132
UniRef90_UPI00266BF6F5	451	47.4	2.3e-132
UniRef90_UPI003992E4F4	473	46.1	2.4e-132
UniRef90_UPI0009A471C1	484	45.7	2.4e-132
UniRef90_A0A3P8UK74	474	44.1	2.4e-132
UniRef90_UPI00188FD937	393	56.3	2.7e-132
UniRef90_A0A4W6BMZ8	477	45.2	2.7e-132
UniRef90_UPI003B82DD5D	521	45.9	2.8e-132
UniRef90_UPI0024535230	481	44.2	3.1e-132
UniRef90_UPI003559AA05	458	46.4	8.2e-132
UniRef90_UPI003F768800	485	44.8	9.9e-132
UniRef90_UPI00259A1A82	481	47.0	1.2e-131
UniRef90_G3W325	481	45.1	1.7e-131
UniRef90_F6WHI3	505	45.6	1.9e-131
UniRef90_A0A8C9YDH9	453	47.1	2e-131
UniRef90_A0A673UMH1	481	47.0	2.5e-131
UniRef90_UPI002AD56D15	571	43.3	2.6e-131
UniRef90_UPI00398F69FA	452	45.7	2.7e-131
UniRef90_UPI0013AFB579	474	45.5	2.8e-131
UniRef90_A0AAW0N8Z6	476	44.1	3e-131
UniRef90_A0A8J6DZ62	489	47.0	3.2e-131
UniRef90_UPI002FD320F7	478	44.9	4.5e-131
UniRef90_UPI001ED82094	482	44.0	5.1e-131
UniRef90_A0A673B6B1	483	45.1	5.3e-131
UniRef90_UPI00396C844D	608	44.9	5.7e-131
UniRef90_A0A8C5HF56	519	43.6	5.9e-131
UniRef90_UPI002ADF21DB	499	44.4	6.2e-131
UniRef90_Q05A56	481	46.6	7e-131
UniRef90_Q2M3T9	481	47.3	9.9e-131
UniRef90_A0A1U7TQB4	481	45.4	9.9e-131
UniRef90_UPI002F358705	441	48.8	1.1e-130
UniRef90_UPI001864E136	476	45.2	1.2e-130
UniRef90_UPI003F712537	478	45.7	1.3e-130
UniRef90_A0ABM0LGM7	481	43.2	1.4e-130
UniRef90_A0A8B9S2Y7	483	45.1	1.5e-130
UniRef90_W5NFW7	448	45.0	1.9e-130
UniRef90_UPI0003F0D0C9	481	44.1	2e-130
UniRef90_A0A8C5RL52	441	46.6	2.2e-130
UniRef90_A0ACE1F823	481	44.6	2.8e-130
UniRef90_UPI002110DFD9	450	45.3	2.9e-130
UniRef90_UPI0034632484	452	46.4	3.1e-130
UniRef90_A0ABD1K2P1	478	44.9	3.6e-130
UniRef90_A0A8C0GGX0	490	45.0	3.7e-130
UniRef90_A0A6P8F2Q7	482	44.1	4.1e-130
UniRef90_UPI0023EBF3CE	483	45.3	4.2e-130
UniRef90_UPI0011274DC7	465	45.4	4.7e-130
UniRef90_A0A8D0L6B4	487	47.6	6.8e-130
